Question,Answer
What is Python?,Python is a high-level programming language.
What is AI?,AI stands for Artificial Intelligence.
What is Machine Learning?,Machine Learning is a subset of AI.
What is Streamlit?,Streamlit is a Python framework for web apps.
What is GitHub?,GitHub is a platform to host and manage code.
What is Data Science?,Data Science is the analysis of data.
What is NLP?,NLP stands for Natural Language Processing.
What is Deep Learning?,Deep Learning uses neural networks to learn patterns.
What is a chatbot?,A chatbot is a program that answers user questions.
What is an API?,API allows two applications to communicate.
What is HTML?,HTML is used to create web pages.
What is CSS?,CSS is used to style web pages.
What is JavaScript?,JavaScript adds interactivity to web pages.
What is SQL?,SQL is used to manage databases.
What is Pandas?,Pandas is a Python library for data analysis.
What is NumPy?,NumPy is a Python library for numerical computing.
What is OpenCV?,OpenCV is used for computer vision.
What is TensorFlow?,TensorFlow is a deep learning framework.
What is Scikit-learn?,Scikit-learn is a machine learning library.
What is Flask?,Flask is a lightweight Python web framework.
What is C?,C is a programming language.
What is C++?,C++ is an object-oriented programming language.
What is Java?,Java is a platform-independent programming language.
What is React?,React is a JavaScript library for building user interfaces.
What is Node.js?,Node.js allows JavaScript to run on the server.
What is Django?,Django is a high-level Python web framework.
What is MongoDB?,MongoDB is a NoSQL database.
What is MySQL?,MySQL is a relational database management system.
What is Cloud Computing?,Cloud computing delivers computing services over the internet.
What is Cyber Security?,Cyber security protects systems and data from attacks.
What is Data Mining?,Data mining discovers patterns in large datasets.
What is Big Data?,Big Data refers to very large datasets.
What is IoT?,IoT connects smart devices through the internet.
What is Blockchain?,Blockchain is a secure distributed ledger technology.
What is Git?,Git is a version control system.
What is Linux?,Linux is an open-source operating system.
What is Windows?,Windows is an operating system developed by Microsoft.
What is Compiler?,A compiler converts source code into machine code.
What is Interpreter?,An interpreter executes code line by line.
What is Algorithm?,An algorithm is a step-by-step solution to a problem.
What is Database?,A database stores and organizes data.
What is OOP?,Object-Oriented Programming organizes code using objects and classes.
What is CPU?,CPU is the brain of the computer.
What is RAM?,RAM is temporary memory used by the computer.
What is Operating System?,An operating system manages computer hardware and software.
What is Network?,A network connects computers to share data and resources.
What is HTTP?,HTTP is the protocol used to transfer web pages.
What is HTTPS?,HTTPS is the secure version of HTTP.
What is JSON?,JSON is a lightweight data exchange format.
What is XML?,XML is a markup language used to store and transport data.
